year,county_name,annual_average_pay,med_rent_0br,med_rent_1br,med_rent_2br,med_rent_3br,med_rent_4br,fmr_0br,fmr_1br,fmr_2br,fmr_3br,fmr_4br,unhoused_total,emergency_shelter,transitional_housing,unsheltered,unhoused_source,Notes
2009,"Los Angeles County, California",51329,981,1186,1486,2025,2494,904,1090,1361,1828,2199,33243,5793,8257,19193,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-600-2009_CA_2009.pdf,NA
2010,"Los Angeles County, California",53143,1023,1237,1550,2113,2601,943,1137,1420,1907,2295,33243,5793,8257,19193,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-600-2010_CA_2010.pdf,NA
2011,"Los Angeles County, California",54420,1029,1244,1559,2125,2616,973,1173,1465,1967,2367,34622,9855,7027,17740,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-600-2011_CA_2011.pdf,NA
2012,"Los Angeles County, California",55506,1032,1245,1554,2087,2511,961,1159,1447,1943,2338,31553,7173,6640,17740,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-600-2012_CA_2012.pdf,NA
2013,"Los Angeles County, California",54960,988,1195,1542,2085,2323,911,1101,1421,1921,2140,35524,6468,6466,22590,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-600-2013_CA_2013.pdf,NA
2014,"Los Angeles County, California",56657,977,1181,1524,2061,2296,896,1083,1398,1890,2106,34393,6214,5589,22590,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-600-2014_CA_2014.pdf,NA
2015,"Los Angeles County, California",58742,993,1201,1550,2096,2335,913,1103,1424,1926,2145,41174,6880,5346,28948,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-600-2015_CA_2015.pdf,NA
2016,"Los Angeles County, California",59921,1026,1250,1614,2176,2413,947,1154,1490,2009,2227,43854,6010,5063,32781,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-600-2015_CA_2016.pdf,NA
2017,"Los Angeles County, California",62978,1069,1292,1671,2249,2490,988,1195,1545,2079,2303,55188,8832,5140,41216,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-600-2017_CA_2017.pdf,NA
2018,"Los Angeles County, California",64921,1154,1388,1798,2412,2667,1067,1284,1663,2231,2467,49955,8819,3566,37570,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-600-2018_CA_2018.pdf,NA
2019,"Los Angeles County, California",67123,1251,1494,1934,2593,2852,1158,1384,1791,2401,2641,56257,10834,2952,42471,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-600-2019_CA_2019.pdf,NA
2020,"Los Angeles County, California",72937,1382,1638,2113,2824,3086,1279,1517,1956,2614,2857,63706,14077,3539,46090,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-600-2020_CA_2020.pdf,NA
2021,"Los Angeles County, California",77362,1488,1746,2238,2974,3243,1369,1605,2058,2735,2982,17225,14144,3081,NA,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-600-2021_CA_2021.pdf,NA
2022,"Los Angeles County, California",78454,1527,1770,2255,2971,3236,1384,1604,2044,2693,2933,65111,16287,2946,45878,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-600-2022_CA_2022.pdf,NA
2000,"New York County, New York",71106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,"New York County, New York",74883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,"New York County, New York",72454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"New York County, New York",73470,898,1001,1137,1422,1593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,"New York County, New York",79873,936,1041,1184,1480,1659,848,944,1073,1342,1504,NA,NA,NA,NA,NA,NA
2005,"New York County, New York",84196,916,988,1102,1379,1428,893,966,1075,1322,1360,48154,35671,8088,4395,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_NY-600-2005_NY_2005.pdf,NA
2006,"New York County, New York",91726,1014,1075,1222,1543,1738,940,1003,1133,1406,1556,55507,33550,18114,3843,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_NY-600-2006_NY_2006.pdf,NA
2007,"New York County, New York",100908,1070,1156,1289,1615,1645,988,1069,1189,1462,1645,50372,38642,7975,3755,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_NY-600-2007_NY_2007.pdf,NA
2008,"New York County, New York",101084,1194,1290,1438,1802,1835,1095,1185,1318,1621,1823,50261,39019,7936,3306,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_NY-600-2008_NY_2008.pdf,NA
2009,"New York County, New York",91738,1182,1277,1424,1784,1817,1091,1180,1313,1615,1817,49343,39727,7288,2328,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_NY-600-2009_NY_2009.pdf,NA
2010,"New York County, New York",98423,1223,1322,1474,1847,1881,1129,1222,1359,1672,1880,53187,43096,6980,3111,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_NY-600-2010_NY_2010.pdf,NA
2011,"New York County, New York",101343,1263,1365,1522,1907,1942,1166,1261,1403,1726,1941,51123,41963,6512,2648,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_NY-600-2011_NY_2011.pdf,NA
2012,"New York County, New York",101880,1283,1388,1544,1899,2136,1183,1280,1424,1752,1970,56672,44879,8531,3262,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_NY-600-2012_NY_2012.pdf,NA
2013,"New York County, New York",101700,1311,1369,1623,2087,2338,1191,1243,1474,1895,2124,64060,53482,7398,3180,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_NY-600-2012_NY_2013.pdf,NA
2014,"New York County, New York",108355,1292,1349,1599,2056,2304,1163,1215,1440,1852,2075,67810,59127,5326,3357,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_NY-600-2014_NY_2014.pdf,NA
2015,"New York County, New York",113682,1323,1382,1638,2106,2360,1196,1249,1481,1904,2134,75323,67378,4762,3183,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_NY-600-2015_NY_2015.pdf,NA
2016,"New York County, New York",113519,1423,1493,1728,2223,2447,1293,1357,1571,2021,2224,73523,66800,3885,2838,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_NY-600-2015_NY_2016.pdf,NA
2017,"New York County, New York",119433,1475,1548,1786,2293,2473,1352,1419,1637,2102,2267,76501,69605,2960,3936,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_NY-600-2017_NY_2017.pdf,NA
2018,"New York County, New York",123516,1649,1696,1948,2482,2653,1514,1558,1789,2280,2437,78676,72187,2778,3711,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_NY-600-2018_NY_2018.pdf,NA
2019,"New York County, New York",127525,1700,1744,1997,2535,2699,1559,1599,1831,2324,2475,78604,72123,2859,3622,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_NY-600-2019_NY_2019.pdf,NA
2020,"New York County, New York",145489,1821,1875,2134,2704,2891,1665,1714,1951,2472,2643,77943,70875,3164,3904,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_NY-600-2020_NY_2020.pdf,NA
2021,"New York County, New York",158935,1940,1985,2263,2864,3069,1760,1801,2053,2598,2784,68358,63213,2762,2383,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_NY-600-2021_NY_2021.pdf,NA
2022,"New York County, New York",156506,2160,2199,2505,3160,3397,2018,2054,2340,2952,3173,61840,55677,2708,3455,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_NY-600-2022_NY_2022.pdf,NA
